scope,tested_layers,spider_feature_ids,spider_positions,ant_feature_ids,ant_positions,spider_suppression,ant_factor,overdrive,control,success,spider_targets,ant_targets,operation_delta_norms,total_delta_norm,top_token,top_probability,p_six,p_eight,p_four,log_p_six_minus_log_p_eight,other_top_tokens
L22-L27-ant-coverage,"[22, 23, 24, 25, 26, 27]","[23422, 23422, 60476, 56900, 56900, 184534, 184534, 109731, 109731, 169121, 145491, 145491, 233390, 129426, 129426, 144881, 144881]","[16, 21, 16, 16, 21, 16, 21, 16, 21, 16, 16, 21, 21, 16, 21, 16, 21]","[1703, 197021, 82603, 209073, 236757, 73903, 248182]","[16, 16, 16, 16, 16, 16, 16]",0.0,0.0,False,unmodified,False,"[1855.89599609375, 1739.02099609375, 562.7435913085938, 568.4154052734375, 719.163330078125, 465.2173767089844, 608.1962890625, 620.8114013671875, 610.472900390625, 537.923095703125, 916.8988647460938, 702.4598388671875, 603.0096435546875, 704.150634765625, 703.5153198242188, 943.4798583984375, 952.3358764648438]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[3.0517578125e-05, 3.0517578125e-05, 0.0, 0.0, 0.0, 1.5258788153005298e-05, 1.5258788153005298e-05, 0.0, 0.0, 3.0517578125e-05, 0.0, 3.0517578125e-05, 3.0517578125e-05, 1.52587890625e-05, 0.0, 0.0, 0.0, 0.0, 0.0, 1.5258787243510596e-05, 1.5258787243510596e-05, 1.9073486328125e-05, 1.9073486328125e-05, 0.0]",8.09219481119408e-05, Eight,0.999982476234436,1.1253320053583593e-07,0.999982476234436,1.6701407730579376e-05,-16.000000019046855,"[{""token"": "" Eight"", ""token_id"": 38923, ""probability"": 0.999982476234436}, {""token"": "" Four"", ""token_id"": 13038, ""probability"": 1.6701407730579376e-05}, {""token"": ""Eight"", ""token_id"": 80357, ""probability"": 6.47583874524571e-07}, {""token"": "" Six"", ""token_id"": 19759, ""probability"": 1.1253320053583593e-07}, {""token"": "" Many"", ""token_id"": 8732, ""probability"": 4.3633860968839144e-09}, {""token"": "" Two"", ""token_id"": 8512, ""probability"": 1.6051998619204255e-09}, {""token"": "" Legs"", ""token_id"": 156403, ""probability"": 5.905200772815533e-10}, {""token"": "" None"", ""token_id"": 5450, ""probability"": 2.789419251136849e-10}, {""token"": "" Typically"", ""token_id"": 50338, ""probability"": 2.789419251136849e-10}, {""token"": "" Usually"", ""token_id"": 34645, ""probability"": 2.789419251136849e-10}, {""token"": "" Some"", ""token_id"": 4943, ""probability"": 2.789419251136849e-10}, {""token"": ""\n\n"", ""token_id"": 108, ""probability"": 2.789419251136849e-10}]"
L22-L27-ant-coverage,"[22, 23, 24, 25, 26, 27]","[23422, 23422, 60476, 56900, 56900, 184534, 184534, 109731, 109731, 169121, 145491, 145491, 233390, 129426, 129426, 144881, 144881]","[16, 21, 16, 16, 21, 16, 21, 16, 21, 16, 16, 21, 21, 16, 21, 16, 21]","[1703, 197021, 82603, 209073, 236757, 73903, 248182]","[16, 16, 16, 16, 16, 16, 16]",0.0,0.25,False,ant_only,False,"[1855.89599609375, 1739.02099609375, 562.7435913085938, 568.4154052734375, 719.163330078125, 465.2173767089844, 608.1962890625, 620.8114013671875, 610.472900390625, 537.923095703125, 916.8988647460938, 702.4598388671875, 603.0096435546875, 704.150634765625, 703.5153198242188, 943.4798583984375, 952.3358764648438]","[455.77888107299805, 90.10985374450684, 47.291446685791016, 253.4788055419922, 65.03054809570312, 312.6178283691406, 236.18194580078125]","[3.0517578125e-05, 3.0517578125e-05, 0.0, 455.7789306640625, 90.10985565185547, 6.6026153564453125, 0.1982574313879013, 47.29145050048828, 1.23077392578125, 1.582855224609375, 253.47882080078125, 3.870086669921875, 0.174468994140625, 2.7981109619140625, 65.0305404663086, 14.425780296325684, 0.82708740234375, 0.3453369438648224, 312.61785888671875, 15.281203269958496, 2.9996488094329834, 15.476948738098145, 5.062725067138672, 236.18197631835938]",663.9805076971032, Eight,0.999982476234436,1.1253320053583593e-07,0.999982476234436,1.6701407730579376e-05,-16.000000019046855,"[{""token"": "" Eight"", ""token_id"": 38923, ""probability"": 0.999982476234436}, {""token"": "" Four"", ""token_id"": 13038, ""probability"": 1.6701407730579376e-05}, {""token"": ""Eight"", ""token_id"": 80357, ""probability"": 6.47583874524571e-07}, {""token"": "" Six"", ""token_id"": 19759, ""probability"": 1.1253320053583593e-07}, {""token"": "" Many"", ""token_id"": 8732, ""probability"": 4.3633860968839144e-09}, {""token"": "" Two"", ""token_id"": 8512, ""probability"": 1.6051998619204255e-09}, {""token"": "" Legs"", ""token_id"": 156403, ""probability"": 7.58242746368154e-10}, {""token"": "" None"", ""token_id"": 5450, ""probability"": 3.5816852261838505e-10}, {""token"": "" Usually"", ""token_id"": 34645, ""probability"": 3.5816852261838505e-10}, {""token"": "" Typically"", ""token_id"": 50338, ""probability"": 3.5816852261838505e-10}, {""token"": "" Some"", ""token_id"": 4943, ""probability"": 2.789419251136849e-10}, {""token"": ""\n\n"", ""token_id"": 108, ""probability"": 2.789419251136849e-10}]"
L22-L27-ant-coverage,"[22, 23, 24, 25, 26, 27]","[23422, 23422, 60476, 56900, 56900, 184534, 184534, 109731, 109731, 169121, 145491, 145491, 233390, 129426, 129426, 144881, 144881]","[16, 21, 16, 16, 21, 16, 21, 16, 21, 16, 16, 21, 21, 16, 21, 16, 21]","[1703, 197021, 82603, 209073, 236757, 73903, 248182]","[16, 16, 16, 16, 16, 16, 16]",0.0,0.5,False,ant_only,False,"[1855.89599609375, 1739.02099609375, 562.7435913085938, 568.4154052734375, 719.163330078125, 465.2173767089844, 608.1962890625, 620.8114013671875, 610.472900390625, 537.923095703125, 916.8988647460938, 702.4598388671875, 603.0096435546875, 704.150634765625, 703.5153198242188, 943.4798583984375, 952.3358764648438]","[911.5577621459961, 180.21970748901367, 94.58289337158203, 506.9576110839844, 130.06109619140625, 625.2356567382812, 472.3638916015625]","[3.0517578125e-05, 3.0517578125e-05, 0.0, 911.557861328125, 180.21971130371094, 13.004165649414062, 0.2899322211742401, 94.58290100097656, 6.1209716796875, 1.637481689453125, 506.9576416015625, 4.744598388671875, 6.924285888671875, 9.004470825195312, 130.0610809326172, 31.28271484375, 7.37237548828125, 11.202027320861816, 625.2357177734375, 43.71686935424805, 0.1486968994140625, 38.26008987426758, 16.007305145263672, 472.36395263671875]",1328.7146886600312, Eight,0.999982476234436,1.4449550178596837e-07,0.999982476234436,1.6701407730579376e-05,-15.74999993546822,"[{""token"": "" Eight"", ""token_id"": 38923, ""probability"": 0.999982476234436}, {""token"": "" Four"", ""token_id"": 13038, ""probability"": 1.6701407730579376e-05}, {""token"": ""Eight"", ""token_id"": 80357, ""probability"": 6.47583874524571e-07}, {""token"": "" Six"", ""token_id"": 19759, ""probability"": 1.4449550178596837e-07}, {""token"": "" Many"", ""token_id"": 8732, ""probability"": 5.602698305295917e-09}, {""token"": "" Two"", ""token_id"": 8512, ""probability"": 1.6051998619204255e-09}, {""token"": "" Legs"", ""token_id"": 156403, ""probability"": 7.58242746368154e-10}, {""token"": "" Typically"", ""token_id"": 50338, ""probability"": 3.5816852261838505e-10}, {""token"": "" None"", ""token_id"": 5450, ""probability"": 3.5816852261838505e-10}, {""token"": ""\n\n"", ""token_id"": 108, ""probability"": 3.5816852261838505e-10}, {""token"": "" Usually"", ""token_id"": 34645, ""probability"": 3.5816852261838505e-10}, {""token"": "" Some"", ""token_id"": 4943, ""probability"": 2.789419251136849e-10}]"
L22-L27-ant-coverage,"[22, 23, 24, 25, 26, 27]","[23422, 23422, 60476, 56900, 56900, 184534, 184534, 109731, 109731, 169121, 145491, 145491, 233390, 129426, 129426, 144881, 144881]","[16, 21, 16, 16, 21, 16, 21, 16, 21, 16, 16, 21, 21, 16, 21, 16, 21]","[1703, 197021, 82603, 209073, 236757, 73903, 248182]","[16, 16, 16, 16, 16, 16, 16]",0.0,0.75,False,ant_only,False,"[1855.89599609375, 1739.02099609375, 562.7435913085938, 568.4154052734375, 719.163330078125, 465.2173767089844, 608.1962890625, 620.8114013671875, 610.472900390625, 537.923095703125, 916.8988647460938, 702.4598388671875, 603.0096435546875, 704.150634765625, 703.5153198242188, 943.4798583984375, 952.3358764648438]","[1367.3366432189941, 270.3295612335205, 141.87434005737305, 760.4364166259766, 195.09164428710938, 937.8534851074219, 708.5458374023438]","[3.0517578125e-05, 3.0517578125e-05, 0.0, 1367.3369140625, 270.3295593261719, 20.612442016601562, 0.2970123291015625, 141.87435913085938, 12.36407470703125, 0.676361083984375, 760.4364624023438, 5.002166748046875, 6.898773193359375, 14.822525024414062, 195.0916290283203, 49.120361328125, 3.04913330078125, 6.030151844024658, 937.8535766601562, 67.20832824707031, 0.2833404242992401, 63.52693557739258, 13.408428192138672, 708.5458984375]",1993.1907077043313, Eight,0.999982476234436,1.1253320053583593e-07,0.999982476234436,1.6701407730579376e-05,-16.000000019046855,"[{""token"": "" Eight"", ""token_id"": 38923, ""probability"": 0.999982476234436}, {""token"": "" Four"", ""token_id"": 13038, ""probability"": 1.6701407730579376e-05}, {""token"": ""Eight"", ""token_id"": 80357, ""probability"": 6.47583874524571e-07}, {""token"": "" Six"", ""token_id"": 19759, ""probability"": 1.1253320053583593e-07}, {""token"": "" Many"", ""token_id"": 8732, ""probability"": 4.3633860968839144e-09}, {""token"": "" Two"", ""token_id"": 8512, ""probability"": 1.6051998619204255e-09}, {""token"": "" Legs"", ""token_id"": 156403, ""probability"": 7.58242746368154e-10}, {""token"": "" Typically"", ""token_id"": 50338, ""probability"": 3.5816852261838505e-10}, {""token"": "" None"", ""token_id"": 5450, ""probability"": 3.5816852261838505e-10}, {""token"": ""\n\n"", ""token_id"": 108, ""probability"": 3.5816852261838505e-10}, {""token"": "" Usually"", ""token_id"": 34645, ""probability"": 3.5816852261838505e-10}, {""token"": "" Some"", ""token_id"": 4943, ""probability"": 2.789419251136849e-10}]"
L22-L27-ant-coverage,"[22, 23, 24, 25, 26, 27]","[23422, 23422, 60476, 56900, 56900, 184534, 184534, 109731, 109731, 169121, 145491, 145491, 233390, 129426, 129426, 144881, 144881]","[16, 21, 16, 16, 21, 16, 21, 16, 21, 16, 16, 21, 21, 16, 21, 16, 21]","[1703, 197021, 82603, 209073, 236757, 73903, 248182]","[16, 16, 16, 16, 16, 16, 16]",0.0,1.0,False,ant_only,False,"[1855.89599609375, 1739.02099609375, 562.7435913085938, 568.4154052734375, 719.163330078125, 465.2173767089844, 608.1962890625, 620.8114013671875, 610.472900390625, 537.923095703125, 916.8988647460938, 702.4598388671875, 603.0096435546875, 704.150634765625, 703.5153198242188, 943.4798583984375, 952.3358764648438]","[1823.1155242919922, 360.43941497802734, 189.16578674316406, 1013.9152221679688, 260.1221923828125, 1250.4713134765625, 944.727783203125]","[3.0517578125e-05, 3.0517578125e-05, 0.0, 1823.11572265625, 360.4394226074219, 27.35694694519043, 0.3437042236328125, 189.16580200195312, 10.0902099609375, 0.791839599609375, 1013.915283203125, 13.692840576171875, 7.960418701171875, 15.283279418945312, 260.1221618652344, 56.7259521484375, 11.00189208984375, 19.540651321411133, 1250.471435546875, 86.07142639160156, 3.9610440731048584, 74.63423156738281, 26.232282638549805, 944.7279052734375]",2657.0786735738443, Eight,0.9999778270721436,1.4449483387579676e-07,0.9999778270721436,2.1444933736347593e-05,-15.749999908583943,"[{""token"": "" Eight"", ""token_id"": 38923, ""probability"": 0.9999778270721436}, {""token"": "" Four"", ""token_id"": 13038, ""probability"": 2.1444933736347593e-05}, {""token"": ""Eight"", ""token_id"": 80357, ""probability"": 6.475808618233714e-07}, {""token"": "" Six"", ""token_id"": 19759, ""probability"": 1.4449483387579676e-07}, {""token"": "" Many"", ""token_id"": 8732, ""probability"": 4.363365668780261e-09}, {""token"": "" Two"", ""token_id"": 8512, ""probability"": 1.605192312403858e-09}, {""token"": "" Legs"", ""token_id"": 156403, ""probability"": 5.905173017239917e-10}, {""token"": "" None"", ""token_id"": 5450, ""probability"": 3.581668572838481e-10}, {""token"": "" Usually"", ""token_id"": 34645, ""probability"": 3.581668572838481e-10}, {""token"": ""\n\n"", ""token_id"": 108, ""probability"": 2.7894062060163094e-10}, {""token"": "" Some"", ""token_id"": 4943, ""probability"": 2.7894062060163094e-10}, {""token"": "" Typically"", ""token_id"": 50338, ""probability"": 2.7894062060163094e-10}]"
L22-L27-ant-coverage,"[22, 23, 24, 25, 26, 27]","[23422, 23422, 60476, 56900, 56900, 184534, 184534, 109731, 109731, 169121, 145491, 145491, 233390, 129426, 129426, 144881, 144881]","[16, 21, 16, 16, 21, 16, 21, 16, 21, 16, 16, 21, 21, 16, 21, 16, 21]","[1703, 197021, 82603, 209073, 236757, 73903, 248182]","[16, 16, 16, 16, 16, 16, 16]",0.0,1.25,False,ant_only,False,"[1855.89599609375, 1739.02099609375, 562.7435913085938, 568.4154052734375, 719.163330078125, 465.2173767089844, 608.1962890625, 620.8114013671875, 610.472900390625, 537.923095703125, 916.8988647460938, 702.4598388671875, 603.0096435546875, 704.150634765625, 703.5153198242188, 943.4798583984375, 952.3358764648438]","[2278.8944053649902, 450.5492687225342, 236.45723342895508, 1267.394027709961, 325.1527404785156, 1563.0891418457031, 1180.9097290039062]","[3.0517578125e-05, 3.0517578125e-05, 0.0, 2278.894775390625, 450.54925537109375, 35.70655822753906, 0.0999908447265625, 236.45724487304688, 7.49200439453125, 5.015777587890625, 1267.3941650390625, 19.861541748046875, 9.763519287109375, 18.390031814575195, 325.1527099609375, 58.252685546875, 10.103271484375, 17.9539794921875, 1563.0892333984375, 100.82135772705078, 1.6106414794921875, 82.68305969238281, 30.867168426513672, 1180.9097900390625]",3320.5474036858136, Eight,0.999977707862854,1.8553501490714552e-07,0.999977707862854,2.1444930098368786e-05,-15.499999920718901,"[{""token"": "" Eight"", ""token_id"": 38923, ""probability"": 0.999977707862854}, {""token"": "" Four"", ""token_id"": 13038, ""probability"": 2.1444930098368786e-05}, {""token"": ""Eight"", ""token_id"": 80357, ""probability"": 6.475808049799525e-07}, {""token"": "" Six"", ""token_id"": 19759, ""probability"": 1.8553501490714552e-07}, {""token"": "" Many"", ""token_id"": 8732, ""probability"": 5.602671659943326e-09}, {""token"": "" Two"", ""token_id"": 8512, ""probability"": 2.0611075068899254e-09}, {""token"": "" Legs"", ""token_id"": 156403, ""probability"": 9.735984241032725e-10}, {""token"": "" Typically"", ""token_id"": 50338, ""probability"": 4.598953162737729e-10}, {""token"": "" None"", ""token_id"": 5450, ""probability"": 4.598953162737729e-10}, {""token"": ""\n\n"", ""token_id"": 108, ""probability"": 4.598953162737729e-10}, {""token"": "" Usually"", ""token_id"": 34645, ""probability"": 4.598953162737729e-10}, {""token"": "" Some"", ""token_id"": 4943, ""probability"": 3.581668017726969e-10}]"
L22-L27-ant-coverage,"[22, 23, 24, 25, 26, 27]","[23422, 23422, 60476, 56900, 56900, 184534, 184534, 109731, 109731, 169121, 145491, 145491, 233390, 129426, 129426, 144881, 144881]","[16, 21, 16, 16, 21, 16, 21, 16, 21, 16, 16, 21, 21, 16, 21, 16, 21]","[1703, 197021, 82603, 209073, 236757, 73903, 248182]","[16, 16, 16, 16, 16, 16, 16]",0.0,1.5,False,ant_only,False,"[1855.89599609375, 1739.02099609375, 562.7435913085938, 568.4154052734375, 719.163330078125, 465.2173767089844, 608.1962890625, 620.8114013671875, 610.472900390625, 537.923095703125, 916.8988647460938, 702.4598388671875, 603.0096435546875, 704.150634765625, 703.5153198242188, 943.4798583984375, 952.3358764648438]","[2734.6732864379883, 540.659122467041, 283.7486801147461, 1697.6844787597656, 390.18328857421875, 1875.7069702148438, 1417.0916748046875]","[3.0517578125e-05, 3.0517578125e-05, 0.0, 2734.673828125, 540.6591186523438, 37.57289123535156, 0.4360503852367401, 283.74871826171875, 7.8194580078125, 3.686370849609375, 1520.8729248046875, 26.850677490234375, 9.894622802734375, 18.623367309570312, 390.1832580566406, 58.359375, 14.92657470703125, 24.642335891723633, 1875.7071533203125, 111.66382598876953, 4.2841644287109375, 93.46992492675781, 43.27836608886719, 1417.091796875]",3984.0902961312086, Eight,0.999982476234436,1.4449550178596837e-07,0.999982476234436,1.6701407730579376e-05,-15.74999993546822,"[{""token"": "" Eight"", ""token_id"": 38923, ""probability"": 0.999982476234436}, {""token"": "" Four"", ""token_id"": 13038, ""probability"": 1.6701407730579376e-05}, {""token"": ""Eight"", ""token_id"": 80357, ""probability"": 6.47583874524571e-07}, {""token"": "" Six"", ""token_id"": 19759, ""probability"": 1.4449550178596837e-07}, {""token"": "" Many"", ""token_id"": 8732, ""probability"": 4.3633860968839144e-09}, {""token"": "" Two"", ""token_id"": 8512, ""probability"": 1.6051998619204255e-09}, {""token"": "" Legs"", ""token_id"": 156403, ""probability"": 5.905200772815533e-10}, {""token"": "" Typically"", ""token_id"": 50338, ""probability"": 3.5816852261838505e-10}, {""token"": "" None"", ""token_id"": 5450, ""probability"": 3.5816852261838505e-10}, {""token"": ""\n\n"", ""token_id"": 108, ""probability"": 3.5816852261838505e-10}, {""token"": "" Usually"", ""token_id"": 34645, ""probability"": 3.5816852261838505e-10}, {""token"": "" Some"", ""token_id"": 4943, ""probability"": 2.789419251136849e-10}]"
L22-L27-ant-coverage,"[22, 23, 24, 25, 26, 27]","[23422, 23422, 60476, 56900, 56900, 184534, 184534, 109731, 109731, 169121, 145491, 145491, 233390, 129426, 129426, 144881, 144881]","[16, 21, 16, 16, 21, 16, 21, 16, 21, 16, 16, 21, 21, 16, 21, 16, 21]","[1703, 197021, 82603, 209073, 236757, 73903, 248182]","[16, 16, 16, 16, 16, 16, 16]",0.0,2.0,True,ant_only,False,"[1855.89599609375, 1739.02099609375, 562.7435913085938, 568.4154052734375, 719.163330078125, 465.2173767089844, 608.1962890625, 620.8114013671875, 610.472900390625, 537.923095703125, 916.8988647460938, 702.4598388671875, 603.0096435546875, 704.150634765625, 703.5153198242188, 943.4798583984375, 952.3358764648438]","[3646.2310485839844, 720.8788299560547, 378.3315734863281, 2317.4334106445312, 520.244384765625, 2765.6907348632812, 1889.45556640625]","[3.0517578125e-05, 3.0517578125e-05, 0.0, 3646.2314453125, 720.8788452148438, 53.70655822753906, 0.2719879150390625, 378.33160400390625, 1.482666015625, 11.659942626953125, 2027.83056640625, 51.410186767578125, 11.996551513671875, 15.338638305664062, 520.2443237304688, 44.1605224609375, 29.007997512817383, 38.374027252197266, 2500.94287109375, 118.05390167236328, 15.710555076599121, 87.49714660644531, 64.30393981933594, 1889.455810546875]",5310.517641933368, Eight,0.9999774694442749,1.8553497227458138e-07,0.9999774694442749,2.1444924641400576e-05,-15.499999912076776,"[{""token"": "" Eight"", ""token_id"": 38923, ""probability"": 0.9999774694442749}, {""token"": "" Four"", ""token_id"": 13038, ""probability"": 2.1444924641400576e-05}, {""token"": ""Eight"", ""token_id"": 80357, ""probability"": 8.315099648825708e-07}, {""token"": "" Six"", ""token_id"": 19759, ""probability"": 1.8553497227458138e-07}, {""token"": "" Many"", ""token_id"": 8732, ""probability"": 5.602670327675696e-09}, {""token"": "" Two"", ""token_id"": 8512, ""probability"": 2.0611070628007155e-09}, {""token"": "" Legs"", ""token_id"": 156403, ""probability"": 7.582389160987191e-10}, {""token"": "" None"", ""token_id"": 5450, ""probability"": 4.5989520525147043e-10}, {""token"": "" Typically"", ""token_id"": 50338, ""probability"": 4.5989520525147043e-10}, {""token"": ""\n\n"", ""token_id"": 108, ""probability"": 3.5816671850597004e-10}, {""token"": "" Zero"", ""token_id"": 31234, ""probability"": 3.5816671850597004e-10}, {""token"": "" Usually"", ""token_id"": 34645, ""probability"": 3.5816671850597004e-10}]"
L22-L27-ant-coverage,"[22, 23, 24, 25, 26, 27]","[23422, 23422, 60476, 56900, 56900, 184534, 184534, 109731, 109731, 169121, 145491, 145491, 233390, 129426, 129426, 144881, 144881]","[16, 21, 16, 16, 21, 16, 21, 16, 21, 16, 16, 21, 21, 16, 21, 16, 21]","[1703, 197021, 82603, 209073, 236757, 73903, 248182]","[16, 16, 16, 16, 16, 16, 16]",0.0,3.0,True,ant_only,False,"[1855.89599609375, 1739.02099609375, 562.7435913085938, 568.4154052734375, 719.163330078125, 465.2173767089844, 608.1962890625, 620.8114013671875, 610.472900390625, 537.923095703125, 916.8988647460938, 702.4598388671875, 603.0096435546875, 704.150634765625, 703.5153198242188, 943.4798583984375, 952.3358764648438]","[5469.346572875977, 1081.318244934082, 920.5206298828125, 3513.8853149414062, 780.3665771484375, 4355.6392822265625, 3308.297119140625]","[3.0517578125e-05, 3.0517578125e-05, 0.0, 5469.34765625, 1081.3182373046875, 82.35768127441406, 0.3415679931640625, 567.4974365234375, 41.1605224609375, 17.808929443359375, 3041.745849609375, 162.24655151367188, 6.406951904296875, 36.61961364746094, 780.3665161132812, 129.8568115234375, 43.0924072265625, 37.935550689697266, 3751.414306640625, 8.819168090820312, 24.628095626831055, 62.80772018432617, 60.44822311401367, 2834.18359375]",7964.728753872, Eight,0.999977707862854,1.8553501490714552e-07,0.999977707862854,2.1444930098368786e-05,-15.499999920718901,"[{""token"": "" Eight"", ""token_id"": 38923, ""probability"": 0.999977707862854}, {""token"": "" Four"", ""token_id"": 13038, ""probability"": 2.1444930098368786e-05}, {""token"": ""Eight"", ""token_id"": 80357, ""probability"": 6.475808049799525e-07}, {""token"": "" Six"", ""token_id"": 19759, ""probability"": 1.8553501490714552e-07}, {""token"": "" Many"", ""token_id"": 8732, ""probability"": 5.602671659943326e-09}, {""token"": "" Two"", ""token_id"": 8512, ""probability"": 2.646514785098475e-09}, {""token"": "" Legs"", ""token_id"": 156403, ""probability"": 9.735984241032725e-10}, {""token"": "" Typically"", ""token_id"": 50338, ""probability"": 5.905172462128405e-10}, {""token"": "" None"", ""token_id"": 5450, ""probability"": 4.598953162737729e-10}, {""token"": ""\n\n"", ""token_id"": 108, ""probability"": 4.598953162737729e-10}, {""token"": "" Usually"", ""token_id"": 34645, ""probability"": 4.598953162737729e-10}, {""token"": "" Some"", ""token_id"": 4943, ""probability"": 3.581668017726969e-10}]"
L22-L27-ant-coverage,"[22, 23, 24, 25, 26, 27]","[23422, 23422, 60476, 56900, 56900, 184534, 184534, 109731, 109731, 169121, 145491, 145491, 233390, 129426, 129426, 144881, 144881]","[16, 21, 16, 16, 21, 16, 21, 16, 21, 16, 16, 21, 21, 16, 21, 16, 21]","[1703, 197021, 82603, 209073, 236757, 73903, 248182]","[16, 16, 16, 16, 16, 16, 16]",0.0,4.0,True,ant_only,False,"[1855.89599609375, 1739.02099609375, 562.7435913085938, 568.4154052734375, 719.163330078125, 465.2173767089844, 608.1962890625, 620.8114013671875, 610.472900390625, 537.923095703125, 916.8988647460938, 702.4598388671875, 603.0096435546875, 704.150634765625, 703.5153198242188, 943.4798583984375, 952.3358764648438]","[7292.462097167969, 1441.7576599121094, 1404.7932891845703, 4647.726989746094, 1040.48876953125, 5769.0931396484375, 4528.4210205078125]","[3.0517578125e-05, 3.0517578125e-05, 0.0, 7292.462890625, 1441.7576904296875, 118.82618713378906, 0.3067169189453125, 756.6632080078125, 95.67707061767578, 25.925140380859375, 4055.6611328125, 301.3812561035156, 0.798126220703125, 104.22582244873047, 1040.4886474609375, 343.97308349609375, 44.19451904296875, 27.319337844848633, 5001.8857421875, 139.62460327148438, 26.912702560424805, 251.55322265625, 38.01108932495117, 3778.91162109375]",10629.809866279747, Eight,0.9999774694442749,1.8553497227458138e-07,0.9999774694442749,2.1444924641400576e-05,-15.499999912076776,"[{""token"": "" Eight"", ""token_id"": 38923, ""probability"": 0.9999774694442749}, {""token"": "" Four"", ""token_id"": 13038, ""probability"": 2.1444924641400576e-05}, {""token"": ""Eight"", ""token_id"": 80357, ""probability"": 8.315099648825708e-07}, {""token"": "" Six"", ""token_id"": 19759, ""probability"": 1.8553497227458138e-07}, {""token"": "" Many"", ""token_id"": 8732, ""probability"": 4.363364336512632e-09}, {""token"": "" Two"", ""token_id"": 8512, ""probability"": 2.64651411896466e-09}, {""token"": "" Legs"", ""token_id"": 156403, ""probability"": 7.582389160987191e-10}, {""token"": "" Typically"", ""token_id"": 50338, ""probability"": 5.905170796793868e-10}, {""token"": "" None"", ""token_id"": 5450, ""probability"": 4.5989520525147043e-10}, {""token"": ""\n\n"", ""token_id"": 108, ""probability"": 4.5989520525147043e-10}, {""token"": "" Usually"", ""token_id"": 34645, ""probability"": 4.5989520525147043e-10}, {""token"": "" Zero"", ""token_id"": 31234, ""probability"": 3.5816671850597004e-10}]"
L22-L27-ant-coverage,"[22, 23, 24, 25, 26, 27]","[23422, 23422, 60476, 56900, 56900, 184534, 184534, 109731, 109731, 169121, 145491, 145491, 233390, 129426, 129426, 144881, 144881]","[16, 21, 16, 16, 21, 16, 21, 16, 21, 16, 16, 21, 21, 16, 21, 16, 21]","[1703, 197021, 82603, 209073, 236757, 73903, 248182]","[16, 16, 16, 16, 16, 16, 16]",0.0,5.0,True,ant_only,False,"[1855.89599609375, 1739.02099609375, 562.7435913085938, 568.4154052734375, 719.163330078125, 465.2173767089844, 608.1962890625, 620.8114013671875, 610.472900390625, 537.923095703125, 916.8988647460938, 702.4598388671875, 603.0096435546875, 704.150634765625, 703.5153198242188, 943.4798583984375, 952.3358764648438]","[9115.577621459961, 1802.1970748901367, 1891.7472839355469, 5742.243896484375, 1300.6109619140625, 7328.1015625, 5789.419189453125]","[3.0517578125e-05, 3.0517578125e-05, 0.0, 9115.5791015625, 1802.197021484375, 150.243896484375, 0.6831817626953125, 945.8289794921875, 145.45355224609375, 30.777313232421875, 5069.57666015625, 439.9819030761719, 15.767730712890625, 164.7114715576172, 1300.61083984375, 417.56671142578125, 28.135986328125, 1.4371339082717896, 6252.35693359375, 212.45591735839844, 13.691756248474121, 383.8243713378906, 0.3438301086425781, 4723.63916015625]",13291.601155390505, Eight,0.999982476234436,1.4449550178596837e-07,0.999982476234436,1.6701407730579376e-05,-15.74999993546822,"[{""token"": "" Eight"", ""token_id"": 38923, ""probability"": 0.999982476234436}, {""token"": "" Four"", ""token_id"": 13038, ""probability"": 1.6701407730579376e-05}, {""token"": ""Eight"", ""token_id"": 80357, ""probability"": 6.47583874524571e-07}, {""token"": "" Six"", ""token_id"": 19759, ""probability"": 1.4449550178596837e-07}, {""token"": "" Many"", ""token_id"": 8732, ""probability"": 4.3633860968839144e-09}, {""token"": "" Two"", ""token_id"": 8512, ""probability"": 2.6465274416409557e-09}, {""token"": "" Legs"", ""token_id"": 156403, ""probability"": 5.905200772815533e-10}, {""token"": "" None"", ""token_id"": 5450, ""probability"": 4.5989750896424653e-10}, {""token"": "" Typically"", ""token_id"": 50338, ""probability"": 4.5989750896424653e-10}, {""token"": ""\n\n"", ""token_id"": 108, ""probability"": 3.5816852261838505e-10}, {""token"": "" Zero"", ""token_id"": 31234, ""probability"": 3.5816852261838505e-10}, {""token"": "" Usually"", ""token_id"": 34645, ""probability"": 3.5816852261838505e-10}]"
