scope,tested_layers,spider_feature_ids,spider_positions,ant_feature_ids,ant_positions,spider_suppression,ant_factor,overdrive,control,success,spider_targets,ant_targets,operation_delta_norms,total_delta_norm,top_token,top_probability,p_six,p_eight,p_four,log_p_six_minus_log_p_eight,other_top_tokens
L7,[7],"[14209, 137239]","[16, 16]",[42685],[16],0.0,0.0,False,unmodified,False,"[84.83981323242188, 133.324951171875]",[0.0],"[3.814697720372351e-06, 7.629395440744702e-06, 0.0]",8.529923416366061e-06, Eight,0.999982476234436,1.1253320053583593e-07,0.999982476234436,1.6701407730579376e-05,-16.000000019046855,"[{""token"": "" Eight"", ""token_id"": 38923, ""probability"": 0.999982476234436}, {""token"": "" Four"", ""token_id"": 13038, ""probability"": 1.6701407730579376e-05}, {""token"": ""Eight"", ""token_id"": 80357, ""probability"": 6.47583874524571e-07}, {""token"": "" Six"", ""token_id"": 19759, ""probability"": 1.1253320053583593e-07}, {""token"": "" Many"", ""token_id"": 8732, ""probability"": 4.3633860968839144e-09}, {""token"": "" Two"", ""token_id"": 8512, ""probability"": 1.6051998619204255e-09}, {""token"": "" Legs"", ""token_id"": 156403, ""probability"": 5.905200772815533e-10}, {""token"": "" None"", ""token_id"": 5450, ""probability"": 2.789419251136849e-10}, {""token"": "" Typically"", ""token_id"": 50338, ""probability"": 2.789419251136849e-10}, {""token"": "" Usually"", ""token_id"": 34645, ""probability"": 2.789419251136849e-10}, {""token"": "" Some"", ""token_id"": 4943, ""probability"": 2.789419251136849e-10}, {""token"": ""\n\n"", ""token_id"": 108, ""probability"": 2.789419251136849e-10}]"
L7,[7],"[14209, 137239]","[16, 16]",[42685],[16],0.0,0.25,False,ant_only,False,"[84.83981323242188, 133.324951171875]",[31.566993713378906],"[3.814697720372351e-06, 7.629395440744702e-06, 31.566997528076172]",31.566997528077323, Eight,0.9999408721923828,2.3822288142127945e-07,0.9999408721923828,5.829121801070869e-05,-15.24999999537981,"[{""token"": "" Eight"", ""token_id"": 38923, ""probability"": 0.9999408721923828}, {""token"": "" Four"", ""token_id"": 13038, ""probability"": 5.829121801070869e-05}, {""token"": ""Eight"", ""token_id"": 80357, ""probability"": 6.47556930744031e-07}, {""token"": "" Six"", ""token_id"": 19759, ""probability"": 2.3822288142127945e-07}, {""token"": "" Many"", ""token_id"": 8732, ""probability"": 9.236903686371534e-09}, {""token"": "" Two"", ""token_id"": 8512, ""probability"": 2.646417307516913e-09}, {""token"": "" Legs"", ""token_id"": 156403, ""probability"": 1.605133026494343e-09}, {""token"": "" Usually"", ""token_id"": 34645, ""probability"": 7.582111605231034e-10}, {""token"": "" Some"", ""token_id"": 4943, ""probability"": 5.904954858415579e-10}, {""token"": "" Typically"", ""token_id"": 50338, ""probability"": 5.904954858415579e-10}, {""token"": ""\n\n"", ""token_id"": 108, ""probability"": 4.5987835761707174e-10}, {""token"": "" Zero"", ""token_id"": 31234, ""probability"": 3.5815361787427946e-10}]"
L7,[7],"[14209, 137239]","[16, 16]",[42685],[16],0.0,0.5,False,ant_only,False,"[84.83981323242188, 133.324951171875]",[63.13398742675781],"[3.814697720372351e-06, 7.629395440744702e-06, 63.133995056152344]",63.13399505615292, Eight,0.9999538660049438,2.3822597938760737e-07,0.9999538660049438,4.539783549262211e-05,-15.249999985473995,"[{""token"": "" Eight"", ""token_id"": 38923, ""probability"": 0.9999538660049438}, {""token"": "" Four"", ""token_id"": 13038, ""probability"": 4.539783549262211e-05}, {""token"": ""Eight"", ""token_id"": 80357, ""probability"": 5.043244186708762e-07}, {""token"": "" Six"", ""token_id"": 19759, ""probability"": 2.3822597938760737e-07}, {""token"": "" Many"", ""token_id"": 8732, ""probability"": 7.193801554450374e-09}, {""token"": "" Two"", ""token_id"": 8512, ""probability"": 1.605153898687206e-09}, {""token"": "" Legs"", ""token_id"": 156403, ""probability"": 1.2500952495386741e-09}, {""token"": "" Typically"", ""token_id"": 50338, ""probability"": 5.905031463804278e-10}, {""token"": "" Some"", ""token_id"": 4943, ""probability"": 4.598843528214047e-10}, {""token"": "" Usually"", ""token_id"": 34645, ""probability"": 4.598843528214047e-10}, {""token"": "" Zero"", ""token_id"": 31234, ""probability"": 2.1723396692596708e-10}, {""token"": ""\n\n"", ""token_id"": 108, ""probability"": 2.1723396692596708e-10}]"
L7,[7],"[14209, 137239]","[16, 16]",[42685],[16],0.0,0.75,False,ant_only,False,"[84.83981323242188, 133.324951171875]",[94.70098114013672],"[3.814697720372351e-06, 7.629395440744702e-06, 94.70099639892578]",94.70099639892616, Eight,0.9999409914016724,2.3822290984298888e-07,0.9999409914016724,5.8291225286666304e-05,-15.24999999528893,"[{""token"": "" Eight"", ""token_id"": 38923, ""probability"": 0.9999409914016724}, {""token"": "" Four"", ""token_id"": 13038, ""probability"": 5.8291225286666304e-05}, {""token"": ""Eight"", ""token_id"": 80357, ""probability"": 5.043178816777072e-07}, {""token"": "" Six"", ""token_id"": 19759, ""probability"": 2.3822290984298888e-07}, {""token"": "" Many"", ""token_id"": 8732, ""probability"": 7.1937087398055155e-09}, {""token"": "" Two"", ""token_id"": 8512, ""probability"": 2.061031789679646e-09}, {""token"": "" Legs"", ""token_id"": 156403, ""probability"": 1.605133248538948e-09}, {""token"": "" Usually"", ""token_id"": 34645, ""probability"": 5.904955413527091e-10}, {""token"": "" Typically"", ""token_id"": 50338, ""probability"": 5.904955413527091e-10}, {""token"": "" Some"", ""token_id"": 4943, ""probability"": 4.5987841312822297e-10}, {""token"": "" Zero"", ""token_id"": 31234, ""probability"": 2.7893035103865316e-10}, {""token"": ""\n\n"", ""token_id"": 108, ""probability"": 2.7893035103865316e-10}]"
L7,[7],"[14209, 137239]","[16, 16]",[42685],[16],0.0,1.0,False,ant_only,False,"[84.83981323242188, 133.324951171875]",[126.26797485351562],"[3.814697720372351e-06, 7.629395440744702e-06, 126.26799011230469]",126.26799011230497, Eight,0.9999240636825562,2.3821887396024977e-07,0.9999240636825562,7.484615343855694e-05,-15.250000008194137,"[{""token"": "" Eight"", ""token_id"": 38923, ""probability"": 0.9999240636825562}, {""token"": "" Four"", ""token_id"": 13038, ""probability"": 7.484615343855694e-05}, {""token"": ""Eight"", ""token_id"": 80357, ""probability"": 8.314655701724405e-07}, {""token"": "" Six"", ""token_id"": 19759, ""probability"": 2.3821887396024977e-07}, {""token"": "" Many"", ""token_id"": 8732, ""probability"": 9.236748255148086e-09}, {""token"": "" Legs"", ""token_id"": 156403, ""probability"": 2.646372898595928e-09}, {""token"": "" Two"", ""token_id"": 8512, ""probability"": 1.6051060480748447e-09}, {""token"": "" Typically"", ""token_id"": 50338, ""probability"": 7.581984484694715e-10}, {""token"": "" Usually"", ""token_id"": 34645, ""probability"": 7.581984484694715e-10}, {""token"": "" Some"", ""token_id"": 4943, ""probability"": 4.598706415670506e-10}, {""token"": ""\n\n"", ""token_id"": 108, ""probability"": 3.5814759491437087e-10}, {""token"": "" Several"", ""token_id"": 22624, ""probability"": 2.1722748599906083e-10}]"
L7,[7],"[14209, 137239]","[16, 16]",[42685],[16],0.0,1.25,False,ant_only,False,"[84.83981323242188, 133.324951171875]",[157.83496856689453],"[3.814697720372351e-06, 7.629395440744702e-06, 157.83499145507812]",157.83499145507835, Eight,0.9999241828918457,3.0587912647206394e-07,0.9999241828918457,7.484616071451455e-05,-15.000000004578421,"[{""token"": "" Eight"", ""token_id"": 38923, ""probability"": 0.9999241828918457}, {""token"": "" Four"", ""token_id"": 13038, ""probability"": 7.484616071451455e-05}, {""token"": ""Eight"", ""token_id"": 80357, ""probability"": 6.475461304944474e-07}, {""token"": "" Six"", ""token_id"": 19759, ""probability"": 3.0587912647206394e-07}, {""token"": "" Many"", ""token_id"": 8732, ""probability"": 7.193587947540436e-09}, {""token"": "" Legs"", ""token_id"": 156403, ""probability"": 2.6463731206405328e-09}, {""token"": "" Two"", ""token_id"": 8512, ""probability"": 1.2500580570673492e-09}, {""token"": "" Typically"", ""token_id"": 50338, ""probability"": 7.581985039806227e-10}, {""token"": "" Usually"", ""token_id"": 34645, ""probability"": 5.904856603677899e-10}, {""token"": "" Some"", ""token_id"": 4943, ""probability"": 4.5987069707820183e-10}, {""token"": ""\n\n"", ""token_id"": 108, ""probability"": 2.789256603463741e-10}, {""token"": "" Several"", ""token_id"": 22624, ""probability"": 1.6917697798213283e-10}]"
L7,[7],"[14209, 137239]","[16, 16]",[42685],[16],0.0,1.5,False,ant_only,False,"[84.83981323242188, 133.324951171875]",[189.40196228027344],"[3.814697720372351e-06, 7.629395440744702e-06, 189.40199279785156]",189.40199279785176, Eight,0.999902606010437,5.042985549152945e-07,0.999902606010437,9.610229608369991e-05,-14.49999997466106,"[{""token"": "" Eight"", ""token_id"": 38923, ""probability"": 0.999902606010437}, {""token"": "" Four"", ""token_id"": 13038, ""probability"": 9.610229608369991e-05}, {""token"": ""Eight"", ""token_id"": 80357, ""probability"": 8.314477213389182e-07}, {""token"": "" Six"", ""token_id"": 19759, ""probability"": 5.042985549152945e-07}, {""token"": "" Many"", ""token_id"": 8732, ""probability"": 1.5228497574071298e-08}, {""token"": "" Legs"", ""token_id"": 156403, ""probability"": 4.363037486854182e-09}, {""token"": "" Two"", ""token_id"": 8512, ""probability"": 2.646316055177067e-09}, {""token"": "" Typically"", ""token_id"": 50338, ""probability"": 1.6050716311610813e-09}, {""token"": "" Usually"", ""token_id"": 34645, ""probability"": 1.2500310786478508e-09}, {""token"": "" Some"", ""token_id"": 4943, ""probability"": 7.581821837021607e-10}, {""token"": ""\n\n"", ""token_id"": 108, ""probability"": 3.5813990661992534e-10}, {""token"": "" Several"", ""token_id"": 22624, ""probability"": 2.789196373864655e-10}]"
L7,[7],"[14209, 137239]","[16, 16]",[42685],[16],0.2,0.0,False,spider_only,False,"[67.87185058593751, 106.6599609375]",[0.0],"[16.967967987060547, 26.665000915527344, 0.0]",31.605920512381626, Eight,0.9999637603759766,2.3822832417863538e-07,0.9999637603759766,3.5356220905669034e-05,-15.250000037583451,"[{""token"": "" Eight"", ""token_id"": 38923, ""probability"": 0.9999637603759766}, {""token"": "" Four"", ""token_id"": 13038, ""probability"": 3.5356220905669034e-05}, {""token"": ""Eight"", ""token_id"": 80357, ""probability"": 6.475717668763536e-07}, {""token"": "" Six"", ""token_id"": 19759, ""probability"": 2.3822832417863538e-07}, {""token"": "" Many"", ""token_id"": 8732, ""probability"": 7.19387260872395e-09}, {""token"": "" Two"", ""token_id"": 8512, ""probability"": 3.398144654553903e-09}, {""token"": "" Legs"", ""token_id"": 156403, ""probability"": 1.2501075730142475e-09}, {""token"": "" Typically"", ""token_id"": 50338, ""probability"": 5.905089750513071e-10}, {""token"": "" Zero"", ""token_id"": 31234, ""probability"": 5.905089750513071e-10}, {""token"": "" None"", ""token_id"": 5450, ""probability"": 5.905089750513071e-10}, {""token"": "" Usually"", ""token_id"": 34645, ""probability"": 5.905089750513071e-10}, {""token"": ""\n\n"", ""token_id"": 108, ""probability"": 4.598889047358057e-10}]"
L7,[7],"[14209, 137239]","[16, 16]",[42685],[16],0.2,0.25,False,joint,False,"[67.87185058593751, 106.6599609375]",[31.566993713378906],"[16.967967987060547, 26.665000915527344, 31.566997528076172]",44.670007212586754, Eight,0.999971866607666,1.1253200682403985e-07,0.999971866607666,2.7535676053958014e-05,-16.000000016875177,"[{""token"": "" Eight"", ""token_id"": 38923, ""probability"": 0.999971866607666}, {""token"": "" Four"", ""token_id"": 13038, ""probability"": 2.7535676053958014e-05}, {""token"": ""Eight"", ""token_id"": 80357, ""probability"": 5.043334567744751e-07}, {""token"": "" Six"", ""token_id"": 19759, ""probability"": 1.1253200682403985e-07}, {""token"": "" Many"", ""token_id"": 8732, ""probability"": 4.36333991160609e-09}, {""token"": "" Two"", ""token_id"": 8512, ""probability"": 1.2501176760437716e-09}, {""token"": "" Legs"", ""token_id"": 156403, ""probability"": 7.582346972512255e-10}, {""token"": "" Typically"", ""token_id"": 50338, ""probability"": 2.78938955267094e-10}, {""token"": "" Usually"", ""token_id"": 34645, ""probability"": 2.78938955267094e-10}, {""token"": "" Some"", ""token_id"": 4943, ""probability"": 2.1723788046212889e-10}, {""token"": ""\n\n"", ""token_id"": 108, ""probability"": 2.1723788046212889e-10}, {""token"": "" None"", ""token_id"": 5450, ""probability"": 1.6918504097684917e-10}]"
L7,[7],"[14209, 137239]","[16, 16]",[42685],[16],0.2,0.5,False,joint,False,"[67.87185058593751, 106.6599609375]",[63.13398742675781],"[16.967967987060547, 26.665000915527344, 63.133995056152344]",70.60336778925814, Eight,0.9999538660049438,1.855305953313291e-07,0.9999538660049438,4.539783549262211e-05,-15.499999899039148,"[{""token"": "" Eight"", ""token_id"": 38923, ""probability"": 0.9999538660049438}, {""token"": "" Four"", ""token_id"": 13038, ""probability"": 4.539783549262211e-05}, {""token"": ""Eight"", ""token_id"": 80357, ""probability"": 5.043244186708762e-07}, {""token"": "" Six"", ""token_id"": 19759, ""probability"": 1.855305953313291e-07}, {""token"": "" Many"", ""token_id"": 8732, ""probability"": 7.193801554450374e-09}, {""token"": "" Two"", ""token_id"": 8512, ""probability"": 2.061058435032237e-09}, {""token"": "" Legs"", ""token_id"": 156403, ""probability"": 1.605153898687206e-09}, {""token"": "" Typically"", ""token_id"": 50338, ""probability"": 5.905031463804278e-10}, {""token"": "" Usually"", ""token_id"": 34645, ""probability"": 5.905031463804278e-10}, {""token"": "" Some"", ""token_id"": 4943, ""probability"": 3.581582808109829e-10}, {""token"": ""\n\n"", ""token_id"": 108, ""probability"": 3.581582808109829e-10}, {""token"": "" Zero"", ""token_id"": 31234, ""probability"": 2.7893393150790757e-10}]"
L7,[7],"[14209, 137239]","[16, 16]",[42685],[16],0.2,0.75,False,joint,False,"[67.87185058593751, 106.6599609375]",[94.70098114013672],"[16.967967987060547, 26.665000915527344, 94.70099639892578]",99.83593005719104, Eight,0.9999538660049438,1.855305953313291e-07,0.9999538660049438,4.539783549262211e-05,-15.499999899039148,"[{""token"": "" Eight"", ""token_id"": 38923, ""probability"": 0.9999538660049438}, {""token"": "" Four"", ""token_id"": 13038, ""probability"": 4.539783549262211e-05}, {""token"": ""Eight"", ""token_id"": 80357, ""probability"": 5.043244186708762e-07}, {""token"": "" Six"", ""token_id"": 19759, ""probability"": 1.855305953313291e-07}, {""token"": "" Many"", ""token_id"": 8732, ""probability"": 5.602537989091161e-09}, {""token"": "" Two"", ""token_id"": 8512, ""probability"": 2.061058435032237e-09}, {""token"": "" Legs"", ""token_id"": 156403, ""probability"": 1.2500952495386741e-09}, {""token"": "" Typically"", ""token_id"": 50338, ""probability"": 4.598843528214047e-10}, {""token"": "" Usually"", ""token_id"": 34645, ""probability"": 4.598843528214047e-10}, {""token"": "" Some"", ""token_id"": 4943, ""probability"": 3.581582808109829e-10}, {""token"": ""\n\n"", ""token_id"": 108, ""probability"": 2.7893393150790757e-10}, {""token"": "" Zero"", ""token_id"": 31234, ""probability"": 2.1723396692596708e-10}]"
L7,[7],"[14209, 137239]","[16, 16]",[42685],[16],0.2,1.0,False,joint,False,"[67.87185058593751, 106.6599609375]",[126.26797485351562],"[16.967967987060547, 26.665000915527344, 126.26799011230469]",130.1635107794656, Eight,0.9999243021011353,1.8552510994140903e-07,0.9999243021011353,7.484616799047217e-05,-15.499999899730101,"[{""token"": "" Eight"", ""token_id"": 38923, ""probability"": 0.9999243021011353}, {""token"": "" Four"", ""token_id"": 13038, ""probability"": 7.484616799047217e-05}, {""token"": ""Eight"", ""token_id"": 80357, ""probability"": 6.475462441812851e-07}, {""token"": "" Six"", ""token_id"": 19759, ""probability"": 1.8552510994140903e-07}, {""token"": "" Many"", ""token_id"": 8732, ""probability"": 7.193588835718856e-09}, {""token"": "" Legs"", ""token_id"": 156403, ""probability"": 1.6051064921640545e-09}, {""token"": "" Two"", ""token_id"": 8512, ""probability"": 1.6051064921640545e-09}, {""token"": "" Typically"", ""token_id"": 50338, ""probability"": 7.581986150029252e-10}, {""token"": "" Usually"", ""token_id"": 34645, ""probability"": 5.904857158789412e-10}, {""token"": "" Some"", ""token_id"": 4943, ""probability"": 3.581476781810977e-10}, {""token"": ""\n\n"", ""token_id"": 108, ""probability"": 2.7892568810194973e-10}, {""token"": "" Zero"", ""token_id"": 31234, ""probability"": 1.6917699185992063e-10}]"
L7,[7],"[14209, 137239]","[16, 16]",[42685],[16],0.2,1.25,False,joint,False,"[67.87185058593751, 106.6599609375]",[157.83496856689453],"[16.967967987060547, 26.665000915527344, 157.83499145507812]",160.9683780717802, Eight,0.9998756647109985,3.9273751895052555e-07,0.9998756647109985,0.00012339446402620524,-14.749999995907368,"[{""token"": "" Eight"", ""token_id"": 38923, ""probability"": 0.9998756647109985}, {""token"": "" Four"", ""token_id"": 13038, ""probability"": 0.00012339446402620524}, {""token"": ""Eight"", ""token_id"": 80357, ""probability"": 5.042849693381868e-07}, {""token"": "" Six"", ""token_id"": 19759, ""probability"": 3.9273751895052555e-07}, {""token"": "" Many"", ""token_id"": 8732, ""probability"": 9.236301501402977e-09}, {""token"": "" Legs"", ""token_id"": 156403, ""probability"": 3.397845338426464e-09}, {""token"": "" Two"", ""token_id"": 8512, ""probability"": 3.397845338426464e-09}, {""token"": "" Typically"", ""token_id"": 50338, ""probability"": 1.2499974388902046e-09}, {""token"": "" Usually"", ""token_id"": 34645, ""probability"": 9.734990591425685e-10}, {""token"": "" Some"", ""token_id"": 4943, ""probability"": 7.581617555985076e-10}, {""token"": ""\n\n"", ""token_id"": 108, ""probability"": 2.789121433810493e-10}, {""token"": "" Several"", ""token_id"": 22624, ""probability"": 2.1721698051369032e-10}]"
L7,[7],"[14209, 137239]","[16, 16]",[42685],[16],0.2,1.5,False,joint,False,"[67.87185058593751, 106.6599609375]",[189.40196228027344],"[16.967967987060547, 26.665000915527344, 189.40199279785156]",192.0209600205988, Eight,0.9999241828918457,3.927565614958439e-07,0.9999241828918457,7.484616071451455e-05,-14.750000033422065,"[{""token"": "" Eight"", ""token_id"": 38923, ""probability"": 0.9999241828918457}, {""token"": "" Four"", ""token_id"": 13038, ""probability"": 7.484616071451455e-05}, {""token"": ""Eight"", ""token_id"": 80357, ""probability"": 6.475461304944474e-07}, {""token"": "" Six"", ""token_id"": 19759, ""probability"": 3.927565614958439e-07}, {""token"": "" Many"", ""token_id"": 8732, ""probability"": 1.1860221249548886e-08}, {""token"": "" Legs"", ""token_id"": 156403, ""probability"": 3.3980103175679233e-09}, {""token"": "" Two"", ""token_id"": 8512, ""probability"": 2.0609971507212776e-09}, {""token"": "" Typically"", ""token_id"": 50338, ""probability"": 1.6051062701194496e-09}, {""token"": "" Usually"", ""token_id"": 34645, ""probability"": 9.73546243621115e-10}, {""token"": "" Some"", ""token_id"": 4943, ""probability"": 5.904856603677899e-10}, {""token"": ""\n\n"", ""token_id"": 108, ""probability"": 2.789256603463741e-10}, {""token"": "" Several"", ""token_id"": 22624, ""probability"": 2.1722751375463645e-10}]"
L7,[7],"[14209, 137239]","[16, 16]",[42685],[16],0.4,0.0,False,spider_only,False,"[50.90388793945312, 79.99497070312499]",[0.0],"[33.93592834472656, 53.32999801635742, 0.0]",63.21183371049366, Eight,0.9999538660049438,1.855305953313291e-07,0.9999538660049438,4.539783549262211e-05,-15.499999899039148,"[{""token"": "" Eight"", ""token_id"": 38923, ""probability"": 0.9999538660049438}, {""token"": "" Four"", ""token_id"": 13038, ""probability"": 4.539783549262211e-05}, {""token"": ""Eight"", ""token_id"": 80357, ""probability"": 5.043244186708762e-07}, {""token"": "" Six"", ""token_id"": 19759, ""probability"": 1.855305953313291e-07}, {""token"": "" Many"", ""token_id"": 8732, ""probability"": 7.193801554450374e-09}, {""token"": "" Two"", ""token_id"": 8512, ""probability"": 2.6464517244306762e-09}, {""token"": "" Legs"", ""token_id"": 156403, ""probability"": 9.735751094197553e-10}, {""token"": "" Typically"", ""token_id"": 50338, ""probability"": 5.905031463804278e-10}, {""token"": "" Usually"", ""token_id"": 34645, ""probability"": 5.905031463804278e-10}, {""token"": "" Some"", ""token_id"": 4943, ""probability"": 4.598843528214047e-10}, {""token"": ""\n\n"", ""token_id"": 108, ""probability"": 3.581582808109829e-10}, {""token"": "" None"", ""token_id"": 5450, ""probability"": 2.7893393150790757e-10}]"
L7,[7],"[14209, 137239]","[16, 16]",[42685],[16],0.4,0.25,False,joint,False,"[50.90388793945312, 79.99497070312499]",[31.566993713378906],"[33.93592834472656, 53.32999801635742, 31.566997528076172]",70.65558190249847, Eight,0.9999638795852661,1.8553244274244207e-07,0.9999638795852661,3.535622454364784e-05,-15.499999955633658,"[{""token"": "" Eight"", ""token_id"": 38923, ""probability"": 0.9999638795852661}, {""token"": "" Four"", ""token_id"": 13038, ""probability"": 3.535622454364784e-05}, {""token"": ""Eight"", ""token_id"": 80357, ""probability"": 5.043294777351548e-07}, {""token"": "" Six"", ""token_id"": 19759, ""probability"": 1.8553244274244207e-07}, {""token"": "" Many"", ""token_id"": 8732, ""probability"": 7.19387349690237e-09}, {""token"": "" Two"", ""token_id"": 8512, ""probability"": 2.061079085180495e-09}, {""token"": "" Legs"", ""token_id"": 156403, ""probability"": 1.25010768403655e-09}, {""token"": "" Typically"", ""token_id"": 50338, ""probability"": 5.905090860736095e-10}, {""token"": "" Usually"", ""token_id"": 34645, ""probability"": 5.905090860736095e-10}, {""token"": "" Some"", ""token_id"": 4943, ""probability"": 4.598889602469569e-10}, {""token"": "" Zero"", ""token_id"": 31234, ""probability"": 3.581618612802373e-10}, {""token"": ""\n\n"", ""token_id"": 108, ""probability"": 2.7893673482104475e-10}]"
L7,[7],"[14209, 137239]","[16, 16]",[42685],[16],0.4,0.5,False,joint,False,"[50.90388793945312, 79.99497070312499]",[63.13398742675781],"[33.93592834472656, 53.32999801635742, 63.133995056152344]",89.34000925001838, Eight,0.9999243021011353,2.3821893080366863e-07,0.9999243021011353,7.484616799047217e-05,-15.250000008012371,"[{""token"": "" Eight"", ""token_id"": 38923, ""probability"": 0.9999243021011353}, {""token"": "" Four"", ""token_id"": 13038, ""probability"": 7.484616799047217e-05}, {""token"": ""Eight"", ""token_id"": 80357, ""probability"": 6.475462441812851e-07}, {""token"": "" Six"", ""token_id"": 19759, ""probability"": 2.3821893080366863e-07}, {""token"": "" Many"", ""token_id"": 8732, ""probability"": 9.236750919683345e-09}, {""token"": "" Two"", ""token_id"": 8512, ""probability"": 2.6463735647297426e-09}, {""token"": "" Legs"", ""token_id"": 156403, ""probability"": 2.0609973727658826e-09}, {""token"": "" Typically"", ""token_id"": 50338, ""probability"": 5.904857158789412e-10}, {""token"": "" Usually"", ""token_id"": 34645, ""probability"": 5.904857158789412e-10}, {""token"": "" Some"", ""token_id"": 4943, ""probability"": 5.904857158789412e-10}, {""token"": "" Zero"", ""token_id"": 31234, ""probability"": 4.5987075258935306e-10}, {""token"": ""\n\n"", ""token_id"": 108, ""probability"": 3.581476781810977e-10}]"
L7,[7],"[14209, 137239]","[16, 16]",[42685],[16],0.4,0.75,False,joint,False,"[50.90388793945312, 79.99497070312499]",[94.70098114013672],"[33.93592834472656, 53.32999801635742, 94.70099639892578]",113.85962690959626, Eight,0.9999408721923828,2.3822288142127945e-07,0.9999408721923828,5.829121801070869e-05,-15.24999999537981,"[{""token"": "" Eight"", ""token_id"": 38923, ""probability"": 0.9999408721923828}, {""token"": "" Four"", ""token_id"": 13038, ""probability"": 5.829121801070869e-05}, {""token"": ""Eight"", ""token_id"": 80357, ""probability"": 6.47556930744031e-07}, {""token"": "" Six"", ""token_id"": 19759, ""probability"": 2.3822288142127945e-07}, {""token"": "" Many"", ""token_id"": 8732, ""probability"": 9.236903686371534e-09}, {""token"": "" Two"", ""token_id"": 8512, ""probability"": 2.061031567635041e-09}, {""token"": "" Legs"", ""token_id"": 156403, ""probability"": 1.605133026494343e-09}, {""token"": "" Typically"", ""token_id"": 50338, ""probability"": 9.73562563899577e-10}, {""token"": "" Usually"", ""token_id"": 34645, ""probability"": 7.582111605231034e-10}, {""token"": "" Some"", ""token_id"": 4943, ""probability"": 5.904954858415579e-10}, {""token"": ""\n\n"", ""token_id"": 108, ""probability"": 3.5815361787427946e-10}, {""token"": "" Several"", ""token_id"": 22624, ""probability"": 2.7893032328307754e-10}]"
L7,[7],"[14209, 137239]","[16, 16]",[42685],[16],0.4,1.0,False,joint,False,"[50.90388793945312, 79.99497070312499]",[126.26797485351562],"[33.93592834472656, 53.32999801635742, 126.26799011230469]",141.2067323042502, Eight,0.9999241828918457,3.0587912647206394e-07,0.9999241828918457,7.484616071451455e-05,-15.000000004578421,"[{""token"": "" Eight"", ""token_id"": 38923, ""probability"": 0.9999241828918457}, {""token"": "" Four"", ""token_id"": 13038, ""probability"": 7.484616071451455e-05}, {""token"": ""Eight"", ""token_id"": 80357, ""probability"": 6.475461304944474e-07}, {""token"": "" Six"", ""token_id"": 19759, ""probability"": 3.0587912647206394e-07}, {""token"": "" Many"", ""token_id"": 8732, ""probability"": 1.1860221249548886e-08}, {""token"": "" Two"", ""token_id"": 8512, ""probability"": 3.3980103175679233e-09}, {""token"": "" Legs"", ""token_id"": 156403, ""probability"": 2.6463731206405328e-09}, {""token"": "" Some"", ""token_id"": 4943, ""probability"": 9.73546243621115e-10}, {""token"": "" Usually"", ""token_id"": 34645, ""probability"": 9.73546243621115e-10}, {""token"": "" Typically"", ""token_id"": 50338, ""probability"": 9.73546243621115e-10}, {""token"": "" Zero"", ""token_id"": 31234, ""probability"": 4.5987069707820183e-10}, {""token"": ""\n\n"", ""token_id"": 108, ""probability"": 4.5987069707820183e-10}]"
L7,[7],"[14209, 137239]","[16, 16]",[42685],[16],0.4,1.25,False,joint,False,"[50.90388793945312, 79.99497070312499]",[157.83496856689453],"[33.93592834472656, 53.32999801635742, 157.83499145507812]",170.02241160702224, Eight,0.9999028444290161,3.0587258947889495e-07,0.9999028444290161,9.610231791157275e-05,-15.000000035662945,"[{""token"": "" Eight"", ""token_id"": 38923, ""probability"": 0.9999028444290161}, {""token"": "" Four"", ""token_id"": 13038, ""probability"": 9.610231791157275e-05}, {""token"": ""Eight"", ""token_id"": 80357, ""probability"": 6.475323175436642e-07}, {""token"": "" Six"", ""token_id"": 19759, ""probability"": 3.0587258947889495e-07}, {""token"": "" Many"", ""token_id"": 8732, ""probability"": 1.1859968118699271e-08}, {""token"": "" Legs"", ""token_id"": 156403, ""probability"": 2.646316721310882e-09}, {""token"": "" Two"", ""token_id"": 8512, ""probability"": 2.646316721310882e-09}, {""token"": "" Typically"", ""token_id"": 50338, ""probability"": 9.735254824505546e-10}, {""token"": "" Usually"", ""token_id"": 34645, ""probability"": 7.581823502356144e-10}, {""token"": "" Some"", ""token_id"": 4943, ""probability"": 7.581823502356144e-10}, {""token"": ""\n\n"", ""token_id"": 108, ""probability"": 3.581399898866522e-10}, {""token"": "" Multiple"", ""token_id"": 34489, ""probability"": 2.7891972065319237e-10}]"
